node.name,node.createdAt,node.stargazers.totalCount
clean-code-javascript,2016-11-25T22:25:41Z,39150
awesome-mac,2016-07-17T15:33:47Z,39116
awesome-react,2014-08-06T05:31:44Z,39040
frp,2015-12-21T15:24:59Z,39021
yarn,2016-01-19T17:39:16Z,38978
TensorFlow-Examples,2015-11-11T14:21:19Z,38798
awesome-android-ui,2014-12-24T01:45:03Z,38768
guava,2014-05-29T16:23:17Z,38748
free-for-dev,2015-03-18T21:06:26Z,38576
neovim,2014-01-31T13:39:22Z,38504
scrapy,2010-02-22T02:01:14Z,38276
okhttp,2012-07-23T13:42:55Z,38215
awesome-nodejs,2014-07-11T13:35:34Z,38038
materialize,2014-09-12T19:35:38Z,37998
big-list-of-naughty-strings,2015-08-08T20:57:20Z,37959
prettier,2016-11-29T17:13:37Z,37678
babel,2014-09-28T13:38:23Z,37412
serverless,2015-04-21T03:48:40Z,37371
architecture-samples,2016-02-05T13:42:07Z,37322
scrcpy,2017-11-21T18:00:27Z,37306
project-based-learning,2017-04-12T05:07:46Z,37219
nw.js,2012-01-04T06:21:10Z,37205
grafana,2013-12-11T15:59:56Z,37176
PowerToys,2019-05-01T17:44:02Z,37033
svelte,2016-11-20T18:13:05Z,36992
anime,2016-03-13T21:37:45Z,36760
freecodecamp.cn,2016-09-30T03:13:43Z,36760
parcel,2017-08-07T16:36:47Z,36684
retrofit,2010-09-06T21:39:43Z,36544
leetcode,2018-03-30T09:13:51Z,36406
tesseract,2014-08-12T18:04:59Z,36341
face_recognition,2017-03-03T21:52:39Z,36225
AdminLTE,2013-12-25T02:52:40Z,36131
learn-regex,2017-07-22T12:21:03Z,36091
awesome-interview-questions,2015-11-28T09:48:17Z,36082
impress.js,2011-12-28T22:23:19Z,35874
awesome-ios,2014-07-10T16:03:45Z,35649
build-web-application-with-golang,2012-08-02T11:49:35Z,35615
x64dbg,2015-04-11T20:48:23Z,35556
core,2013-09-17T07:29:48Z,35462
gogs,2014-02-12T01:57:08Z,35385
node-v0.x-archive,2009-05-27T16:29:46Z,35055
code-server,2019-02-27T16:50:41Z,34963
v2ray-core,2015-09-04T11:42:53Z,34953
you-get,2012-08-20T15:53:36Z,34946
awesome-courses,2014-11-15T18:36:49Z,34907
Ghost,2013-05-04T11:09:13Z,34859
vue2-elm,2016-12-23T01:49:20Z,34407
Alamofire,2014-07-31T05:56:19Z,34344
hyper,2016-07-01T06:01:21Z,34112
git,2008-07-23T14:21:26Z,34092
git-flight-rules,2014-07-22T20:35:09Z,33868
Best-websites-a-programmer-should-visit,2017-03-05T20:25:17Z,33771
the-book-of-secret-knowledge,2018-06-23T10:43:14Z,33718
transformers,2018-10-29T13:56:00Z,33692
dubbo,2012-06-19T07:56:02Z,33531
HelloGitHub,2016-05-04T06:24:11Z,33504
cpython,2017-02-10T19:23:51Z,33486
kotlin,2012-02-13T17:29:58Z,33357
godot,2014-01-04T16:05:36Z,33243
pm2,2013-05-21T03:25:25Z,33185
33-js-concepts,2018-09-04T13:27:04Z,33142
syncthing,2013-11-26T09:48:21Z,32979
AFNetworking,2011-05-31T21:28:44Z,32943
prometheus,2012-11-24T11:14:12Z,32881
awesome-wechat-weapp,2016-09-22T20:04:48Z,32788
shadowsocks,2012-04-20T13:10:49Z,32782
etcd,2013-07-06T21:57:21Z,32770
jest,2013-12-10T00:18:04Z,32449
faceswap,2017-12-19T09:44:13Z,32360
pdf.js,2011-04-26T06:32:03Z,32114
mermaid,2014-11-01T23:52:32Z,32002
gulp,2013-07-04T05:26:06Z,31902
brackets,2011-12-07T21:14:40Z,31899
fzf,2013-10-23T16:04:23Z,31770
MPAndroidChart,2014-04-25T14:29:47Z,31690
material-design-lite,2015-01-14T22:01:33Z,31672
Projects,2013-07-04T13:37:27Z,31584
algorithm-visualizer,2016-05-15T00:27:45Z,31583
discourse,2013-01-12T00:25:55Z,31501
hexo,2012-09-23T15:17:08Z,31275
slate,2013-09-13T22:15:24Z,31130
styled-components,2016-08-16T06:41:32Z,30870
awesome-flutter,2017-05-07T11:45:27Z,30842
caffe,2013-09-12T18:39:48Z,30831
jQuery-File-Upload,2010-12-01T15:35:32Z,30811
fullPage.js,2013-09-20T11:58:29Z,30792
hackathon-starter,2013-11-13T17:24:12Z,30758
traefik,2015-09-13T19:04:02Z,30732
github-cheat-sheet,2014-04-12T16:38:42Z,30710
pixi.js,2013-01-21T22:40:50Z,30589
app-ideas,2019-02-25T18:36:56Z,30480
XX-Net,2015-01-15T09:35:51Z,30314
shadowsocks-android,2012-12-16T13:40:29Z,30237
immutable-js,2014-07-02T06:02:29Z,30201
nuxt.js,2016-10-26T11:18:47Z,30178
android-open-project,2014-01-05T15:20:15Z,30169
nest,2017-02-04T20:12:52Z,30155
100-Days-Of-ML-Code,2018-07-05T09:11:43Z,30115
incubator-superset,2015-07-21T18:55:34Z,30066
caddy,2015-01-13T19:45:03Z,30027
Java,2016-07-16T10:21:02Z,29963
koa,2013-07-20T18:53:45Z,29887
chinese-poetry,2016-09-02T03:32:25Z,29874
glide,2013-07-08T22:52:33Z,29870
DefinitelyTyped,2012-10-05T16:39:45Z,29832
fastlane,2014-12-02T17:00:38Z,29759
lottie-android,2016-10-06T22:42:42Z,29668
deeplearningbook-chinese,2016-12-07T11:46:51Z,29595
video.js,2010-05-14T18:45:10Z,29447
huginn,2013-03-10T06:00:31Z,29424
julia,2011-04-21T07:01:50Z,29300
clipboard.js,2015-09-18T23:04:55Z,29204
design-patterns-for-humans,2017-02-16T21:24:39Z,29162
strapi,2015-09-30T15:34:48Z,28976
Leaflet,2010-09-22T16:57:44Z,28938
dayjs,2018-04-10T09:26:44Z,28859
interview_internal_reference,2019-06-10T06:54:19Z,28855
foundation-sites,2011-10-13T23:05:42Z,28765
12306,2017-05-17T12:23:40Z,28676
CppCoreGuidelines,2015-08-19T20:22:52Z,28493
ShadowsocksX-NG,2016-06-10T11:49:00Z,28425
tldr,2013-12-08T07:34:43Z,28384
Deep-Learning-Papers-Reading-Roadmap,2016-10-14T11:49:48Z,28324
Rocket.Chat,2015-05-19T07:36:09Z,28264
php-src,2011-06-16T01:52:25Z,28210
phaser,2013-04-12T12:27:51Z,28142
awesome-react-native,2015-03-26T19:58:06Z,28062
AndroidUtilCode,2016-07-30T18:18:32Z,27892
phantomjs,2010-12-27T08:18:58Z,27862
es6features,2014-03-03T18:29:30Z,27827
legacy-homebrew,2009-05-20T19:38:37Z,27680
backbone,2010-09-30T19:41:28Z,27665
frontend-dev-bookmarks,2013-06-22T13:23:55Z,27617
quill,2012-07-30T23:23:18Z,27616
vuetify,2016-09-12T00:39:35Z,27555
grpc,2014-12-08T18:58:53Z,27543
spark,2014-02-25T08:00:08Z,27465
tailwindcss,2017-10-06T14:59:14Z,27449
awesome-cpp,2014-07-17T08:51:11Z,27323
HEAD,2016-04-20T20:05:37Z,27322
ijkplayer,2013-06-03T04:12:04Z,27296
awesome-scalability,2017-12-27T03:46:40Z,27293
og-aws,2016-07-13T17:30:16Z,27281
certbot,2014-11-12T02:52:20Z,27167
what-happens-when,2013-11-07T04:30:06Z,27161
preact,2015-09-11T02:40:18Z,27128
gold-miner,2015-11-04T03:29:13Z,27104
android_guides,2013-06-19T10:24:45Z,26969
taro,2018-04-08T09:32:26Z,26902
kong,2014-11-17T23:56:08Z,26868
todomvc,2011-06-03T19:56:33Z,26851
AiLearning,2017-02-25T08:53:02Z,26848
SecLists,2012-02-19T01:30:18Z,26781
go-ethereum,2013-12-26T13:05:46Z,26735
async,2010-06-01T21:01:30Z,26717
awesome-awesomeness,2014-07-08T05:44:19Z,26576
pandas,2010-08-24T01:37:33Z,26525
ant-design-pro,2017-08-25T10:40:44Z,26476
localstack,2016-10-25T23:48:03Z,26340
vue-cli,2015-12-26T23:11:20Z,26324
react-boilerplate,2015-02-18T14:36:32Z,26284
wrk,2012-03-20T11:12:28Z,26199
zxing,2011-10-12T14:07:27Z,26181
awesome-java,2014-07-09T10:12:43Z,26093
sentry,2010-08-30T22:06:41Z,26064
slick,2014-03-24T02:10:05Z,26042
python-patterns,2012-06-06T21:02:35Z,25842
front-end-interview-handbook,2018-01-13T19:40:08Z,25819
trackerslist,2016-04-24T11:57:57Z,25746
mkcert,2018-06-25T05:33:03Z,25703
programmer-job-blacklist,2016-06-25T06:09:10Z,25655
new-pac,2016-03-23T08:43:36Z,25563
proxyee-down,2017-10-25T10:07:27Z,25558
underscore,2009-10-25T18:31:06Z,25526
500lines,2013-11-04T02:02:53Z,25464
PythonDataScienceHandbook,2016-08-10T14:24:36Z,25462
uni-app,2018-07-12T08:52:39Z,25454
butterknife,2013-03-05T08:18:59Z,25448
styleguide,2015-05-20T19:18:59Z,25386
manim,2015-03-22T18:50:58Z,25380
carbon,2017-06-16T02:50:28Z,25277
leakcanary,2015-04-29T23:54:16Z,25254
pure-bash-bible,2018-06-13T01:39:33Z,25254
JCSprout,2017-12-17T09:06:50Z,25227
alacritty,2016-02-18T05:02:30Z,25220
tidb,2015-09-06T04:01:52Z,25069
faker.js,2010-05-15T00:53:07Z,25069
